departure_fr,departure_longitude,departure_latitude,destination_fr,destination_longitude,destination_latitude,tonnage,is_smoggleur
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Plymouth,-4.138611,50.396389,42,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,5,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,1
Roscoff,-3.983333,48.733333,Combe Martin,-4.033333,51.2,4,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,5,1
Roscoff,-3.983333,48.733333,Falmouth,-5.076111,50.148333,4,1
Roscoff,-3.983333,48.733333,Falmouth,-5.076111,50.148333,30,1
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,4,1
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,5,1
Roscoff,-3.983333,48.733333,île de Man, -4.525466,54.221862,28,1
Roscoff,-3.983333,48.733333,Penzance,-5.547778,50.113611,3,1
Roscoff,-3.983333,48.733333,Penzance,-5.547778,50.113611,4,1
Roscoff,-3.983333,48.733333,Penzance,-5.547778,50.113611,3,1
Roscoff,-3.983333,48.733333,Penzance,-5.547778,50.113611,3,1
Roscoff,-3.983333,48.733333,Mevagissey,-4.787686,50.26984,15,0
Roscoff,-3.983333,48.733333,Polperro,-4.516667,50.333333,28,1
Roscoff,-3.983333,48.733333,Polperro,-4.516667,50.333333,11,1
Roscoff,-3.983333,48.733333,Polperro,-4.516667,50.333333,18,1
Roscoff,-3.983333,48.733333,Gweek,-5.216667,50.1,14,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,22,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,50,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,32,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,50,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,50,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,25,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,20,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,14,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,15,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,Combe Martin,-4.033333,51.2,4,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,4,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,40,0
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,10,0
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,30,0
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,8,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,12,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,10,1
Roscoff,-3.983333,48.733333,cap Lizard,-5.216667,49.966667,4,1
Roscoff,-3.983333,48.733333,cap Lizard,-5.216667,49.966667,2,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,20,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,50,0
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,0,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,8,0
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,5,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,18,0
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,3,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,7,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,2,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,18,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,0,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,2,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,3,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,5,1
Roscoff,-3.983333,48.733333,Cadgwith,-5.183333,49.983333,4,1
Roscoff,-3.983333,48.733333,Cadgwith,-5.183333,49.983333,6,1
Roscoff,-3.983333,48.733333,Cadgwith,-5.183333,49.983333,4,1
Roscoff,-3.983333,48.733333,Helford,-5.136123,50.092685,7,1
Roscoff,-3.983333,48.733333,Helford,-5.136123,50.092685,2,1
Roscoff,-3.983333,48.733333,Helford,-5.136123,50.092685,0,1
Roscoff,-3.983333,48.733333,Fowey,-4.639167,50.333611,8,1
Roscoff,-3.983333,48.733333,Newlyn,-5.553611,50.101111,3,1
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,80,0
Roscoff,-3.983333,48.733333,Porthleven,-5.316667,50.083333,18,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,6,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,0
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,3,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,0,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,6,1
