departure_fr,departure_longitude,departure_latitude,destination_fr,destination_longitude,destination_latitude,tonnage,is_smoggleur
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,45,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,25,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,25,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,25,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,30,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,20,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,12,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Boulogne-sur-Mer,1.616667,50.716667,Autre en Angleterre,-2,53,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Helford,-5.136123,50.092685,0,1
Roscoff,-3.983333,48.733333,Penzance,-5.547778,50.113611,3,1
Roscoff,-3.983333,48.733333,Fowey,-4.639167,50.333611,8,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Dublin,-6.248889,53.333056,30,0
Roscoff,-3.983333,48.733333,Polperro,-4.516667,50.333333,18,1
Roscoff,-3.983333,48.733333,Cork,-8.495833,51.898611,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,Cork,-8.495833,51.898611,6,1
Roscoff,-3.983333,48.733333,Newlyn,-5.553611,50.101111,3,1
Roscoff,-3.983333,48.733333,Cadgwith,-5.183333,49.983333,6,1
Roscoff,-3.983333,48.733333,Morlaix,-3.826103,48.574926,180,0
Roscoff,-3.983333,48.733333,Morlaix,-3.826103,48.574926,21,0
Roscoff,-3.983333,48.733333,Morlaix,-3.826103,48.574926,200,0
Roscoff,-3.983333,48.733333,inconnu,,,2,0
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,8,0
Roscoff,-3.983333,48.733333,Bordeaux,-0.566667,44.833333,60,0
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Porthleven,-5.316667,50.083333,18,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,1
Roscoff,-3.983333,48.733333,Helford,-5.136123,50.092685,7,1
Roscoff,-3.983333,48.733333,île de Man, -4.525466,54.221862,28,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,8,1
Roscoff,-3.983333,48.733333,cap Lizard,-5.216667,49.966667,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Dartmouth,-3.583333,50.35,30,1
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,5,1
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,25,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,22,1
Roscoff,-3.983333,48.733333,Combe Martin,-4.033333,51.2,4,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,50,1
Roscoff,-3.983333,48.733333,Limerick ,-8.623056,52.664722,15,0
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,100,0
Roscoff,-3.983333,48.733333,Cork,-8.495833,51.898611,9,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,18,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,7,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Rush,-6.092877,53.520936,20,0
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,4,1
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,100,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,6,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,10,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,4,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,12,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Combe Martin,-4.033333,51.2,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Falmouth,-5.076111,50.148333,7,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,50,0
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Kinsale,-8.530556,51.7075,6,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,0,1
Roscoff,-3.983333,48.733333,Falmouth,-5.076111,50.148333,30,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,5,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,4,1
Roscoff,-3.983333,48.733333,Cadgwith,-5.183333,49.983333,4,1
Roscoff,-3.983333,48.733333,Penzance,-5.547778,50.113611,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,14,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,5,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,3,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,20,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,2,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,15,1
Roscoff,-3.983333,48.733333,Falmouth,-5.076111,50.148333,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,32,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,50,1
Roscoff,-3.983333,48.733333,Cawsand,-4.2,50.316667,50,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,4,1
Roscoff,-3.983333,48.733333,Helford,-5.136123,50.092685,2,1
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,10,0
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,80,0
Roscoff,-3.983333,48.733333,Polperro,-4.516667,50.333333,28,1
Roscoff,-3.983333,48.733333,Penzance,-5.547778,50.113611,3,1
Roscoff,-3.983333,48.733333,Lorient,-3.366667,47.75,37,0
Roscoff,-3.983333,48.733333,Cadgwith,-5.183333,49.983333,4,1
Roscoff,-3.983333,48.733333,Nordkapp / Cap Nord),25.8025,71.167778,25,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,40,0
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,20,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,16,1
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,8,1
Roscoff,-3.983333,48.733333,Penzance,-5.547778,50.113611,4,1
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,5,0
Roscoff,-3.983333,48.733333,cap Lizard,-5.216667,49.966667,2,1
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,20,0
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,30,0
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,6,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,45,0
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,2,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,18,0
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,3,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Falmouth,-5.076111,50.148333,6,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,8,0
Roscoff,-3.983333,48.733333,Coverack,-5.1,50.016667,2,1
Roscoff,-3.983333,48.733333,Falmouth,-5.076111,50.148333,120,0
Roscoff,-3.983333,48.733333,Cork,-8.495833,51.898611,9,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,0,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,30,0
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,5,1
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,1
Roscoff,-3.983333,48.733333,Lorient,-3.366667,47.75,15,0
Roscoff,-3.983333,48.733333,Lorient,-3.366667,47.75,30,0
Roscoff,-3.983333,48.733333,Gweek,-5.216667,50.1,14,1
Roscoff,-3.983333,48.733333,Polperro,-4.516667,50.333333,11,1
Roscoff,-3.983333,48.733333,Mevagissey,-4.787686,50.26984,15,0
Roscoff,-3.983333,48.733333,Plymouth,-4.138611,50.396389,5,0
Roscoff,-3.983333,48.733333,Lorient,-3.366667,47.75,10,0
Roscoff,-3.983333,48.733333,inconnu,,,20,0
Roscoff,-3.983333,48.733333,inconnu,,,4,0
Roscoff,-3.983333,48.733333,inconnu,,,50,0
Roscoff,-3.983333,48.733333,inconnu,,,10,0
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,4,0
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,0,1
Roscoff,-3.983333,48.733333,Guernesey,-2.6,49.45,5,0
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,5,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,3,1
Roscoff,-3.983333,48.733333,Mount's Bay,-5.52206,50.1147,4,1
Roscoff,-3.983333,48.733333,Autre en Angleterre,-2,53,10,0
Roscoff,-3.983333,48.733333,Lorient,-3.366667,47.75,37,0
Roscoff,-3.983333,48.733333,îles Scilly,-6.333333,49.916667,5,1
Lorient,-3.366667,47.75,Ross,-9.200278,54.233333,50,0
Lorient,-3.366667,47.75,Îles Féroé,-7.072907,62.192805,36,1
Lorient,-3.366667,47.75,Ostende,2.916667,51.216667,30,0
Lorient,-3.366667,47.75,Îles Féroé,-7.072907,62.192805,52,1
Lorient,-3.366667,47.75,Îles Féroé,-7.072907,62.192805,40,1
Lorient,-3.366667,47.75,Îles Féroé,-7.072907,62.192805,50,1
Lorient,-3.366667,47.75,Îles Féroé,-7.072907,62.192805,35,1
Lorient,-3.366667,47.75,île de Ré,-1.416667,46.2,75,0
Lorient,-3.366667,47.75,Îles Féroé,-7.072907,62.192805,38,1
Lorient,-3.366667,47.75,Dublin,-6.248889,53.333056,38,0
